object_id,source_object_name,display_object_name,ground_truth_gecko_force_n,displayed_e3_predicted_force_n,displayed_e3_absolute_error_n,displayed_e4_predicted_force_n,displayed_e4_absolute_error_n,truth_snapshot_sha256,displayed_e3_source_experiment,displayed_e3_prediction_batch_id,displayed_e3_evaluation_id,displayed_e4_source_experiment,displayed_e4_prediction_batch_id,displayed_e4_evaluation_id
very_smooth_tile,Very Smooth Tile,Smooth tile,0.250000,1.906000,1.656000,0.350000,0.100000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
soap_bottle,Soap Bottle,Soap Bottle,0.303000,0.240000,0.063000,0.350000,0.047000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
caprisun,CapriSun,CapriSun,0.417000,2.050000,1.633000,0.450000,0.033000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
mold_release_spray_box,Mold Release Spray Box,Spray box,0.420000,0.500000,0.080000,0.450000,0.030000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
small_book,Small Book,Small Book,1.030000,0.750000,0.280000,0.850000,0.180000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
toilet_paper,Toilet Paper,Toilet Paper,1.112000,2.010000,0.898000,1.250000,0.138000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
avacado,Avacado,Avocado,1.240000,0.380000,0.860000,1.450000,0.210000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
large_hand_sanitizer,Large hand sanitizer,Hand sanitizer,1.300000,1.400000,0.100000,1.450000,0.150000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
red_bull,Red Bull,Red Bull,1.746000,1.880000,0.134000,1.550000,0.196000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
poker_box,Poker Box,Poker Box,2.070000,2.290000,0.220000,2.250000,0.180000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
rough_tile,Rough Tile,Rough Tile,2.459000,1.500000,0.959000,1.910000,0.549000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
computer,Computer,Computer,2.500000,2.200000,0.300000,3.100000,0.600000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
headphones_case,Headphones Case,Headset case,3.010000,2.150000,0.860000,3.140000,0.130000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
clay_bowl,Clay Bowl,Clay Bowl,3.630000,3.250000,0.380000,3.420000,0.210000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
camera_cardboard_box,Camera Cardboard Box,Camera box,6.220000,5.900000,0.320000,5.900000,0.320000,2799cfe475b72f3e990ddf29125b9098381cab6dfa7710a9a25b8e4a08873701,e4,20260809T175747123610Z_e4,20260809T181141934097Z_2799cfe475b7,e5,20260809T024429516007Z_e5_curated,20260809T024429795360Z_2799cfe475b7
